Year,Month,Day,Hour,Minute,Second,Latitude,Londitude,Height(m),sigma ,Flash No.
2013,8,1,1,25,26.5725387,35.83918,135.0196,8143,1.59E+00,14
2013,8,1,1,25,26.5725769,35.93048,134.98079,10169,6.84E-01,14
2013,8,1,1,25,26.5762303,35.84693,135.03269,4362,2.90E+00,14
2013,8,1,1,25,26.5805061,35.91153,134.96478,12601,4.20E-03,14
2013,8,1,1,25,26.5873749,35.88706,135.04038,7798,1.70E-01,14
2013,8,1,1,25,26.6068054,35.94488,134.9414,12808,2.85E-02,14
2013,8,1,1,25,26.6534655,35.91824,134.96149,10437,2.92E-01,14
2013,8,1,1,25,26.6579069,35.89387,134.9774,7640,3.32E-01,14
2013,8,1,1,25,26.6623611,35.83831,134.99922,7433,3.51E-01,14
2013,8,1,1,25,26.6655446,35.84217,134.99835,7568,1.06E-01,14
2013,8,1,1,35,3.2913873,35.76548,133.78634,9692,2.50E-02,15
2013,8,1,1,35,3.3255897,35.74834,133.85123,6916,6.17E-02,15
2013,8,1,1,36,12.2614205,35.76368,135.06943,14377,1.57E-04,16
2013,8,1,1,36,12.2620905,35.76368,135.06943,14377,1.57E-04,16
2013,8,1,1,36,12.2623391,35.80731,135.04677,14407,1.39E-03,16
2013,8,1,1,36,12.2624043,35.7763,135.06301,3445,7.84E-02,16
2013,8,1,1,36,12.2624861,35.77052,135.05935,6660,8.59E-03,16
2013,8,1,1,36,12.2630859,35.78746,135.06409,2734,1.45E+00,16
2013,8,1,1,36,12.2632155,35.79806,135.05142,7247,6.85E-02,16
2013,8,1,1,36,12.2645679,35.74287,135.07242,5798,7.76E-02,16
2013,8,1,1,36,12.2646765,35.80971,135.04661,8022,3.53E-01,16
2013,8,1,1,36,12.2654036,35.68342,135.07218,7382,7.24E-02,16
2013,8,1,1,36,12.2654726,35.797,135.06209,6389,1.50E-02,16
2013,8,1,1,36,12.2655268,35.85931,135.0242,14406,1.85E-02,16
2013,8,1,1,36,12.265682,35.8691,135.01876,10484,5.99E-03,16
2013,8,1,1,36,12.2658536,35.85864,135.0197,9611,6.28E-02,16
2013,8,1,1,36,12.266283,35.80638,135.05985,13035,1.31E-02,16
2013,8,1,1,36,12.2671118,35.80732,135.06729,8414,1.92E-03,16
2013,8,1,1,36,12.2684745,35.88576,135.03822,12527,1.40E-01,16
2013,8,1,1,36,12.2685383,35.83191,135.0687,6831,2.51E-01,16
2013,8,1,1,36,12.270118,35.88604,135.03834,13773,6.86E-03,16
2013,8,1,1,36,12.2715827,35.85511,135.04605,13389,2.66E-04,16
2013,8,1,1,36,12.2741428,35.80085,135.08325,7983,2.81E-03,16
2013,8,1,1,36,12.2793707,35.83208,135.08994,8021,7.21E-02,16
2013,8,1,1,36,12.280757,35.81115,135.09907,7482,1.02E-01,16
2013,8,1,1,36,12.2824919,35.85643,135.07511,12025,1.06E-01,16
2013,8,1,1,36,12.2826212,35.78632,135.08291,7707,4.29E-03,16
2013,8,1,1,36,12.2829288,35.80852,135.07928,7669,3.98E-03,16
2013,8,1,1,36,12.2834721,35.90372,135.06434,13812,2.38E-04,16
2013,8,1,1,36,12.2851002,35.87688,135.07633,13921,4.63E-02,16
2013,8,1,1,36,12.2853698,35.79319,135.08651,5148,3.06E-03,16
2013,8,1,1,36,12.2857038,35.88798,135.07737,14271,8.89E-04,16
2013,8,1,1,36,12.2861097,35.91137,135.07357,11484,1.09E-02,16
2013,8,1,1,36,12.2864588,35.80452,135.11838,10731,3.69E-03,16
2013,8,1,1,36,12.2866623,35.89809,135.07904,11581,2.59E-03,16
2013,8,1,1,36,12.2870859,35.84274,135.10172,14502,2.02E-02,16
2013,8,1,1,36,12.2875497,35.89886,135.07885,15225,7.17E-03,16
2013,8,1,1,36,12.2877881,35.8847,135.03941,2214,3.86E-01,16
2013,8,1,1,36,12.2884026,35.89007,135.07931,13777,8.41E-02,16
2013,8,1,1,36,12.2886916,35.87312,135.08309,14698,8.22E-03,16
2013,8,1,1,36,12.2891462,35.82212,135.11924,6731,1.21E-01,16
2013,8,1,1,36,12.2896155,35.89146,135.08175,11224,2.85E-03,16
2013,8,1,1,36,12.2896505,35.92557,135.06777,15312,7.37E-03,16
2013,8,1,1,36,12.2901279,35.99359,135.05946,12817,2.18E-01,16
2013,8,1,1,36,12.2908222,35.93145,135.07196,4643,9.74E-02,16
2013,8,1,1,36,12.2909904,35.84324,135.10918,11031,3.53E-04,16
2013,8,1,1,36,12.2912488,35.8213,135.11691,6512,2.53E-01,16
2013,8,1,1,36,12.2918977,35.83533,135.1119,4642,5.33E-02,16
2013,8,1,1,36,12.2923159,35.92657,135.07815,10884,4.78E-01,16
2013,8,1,1,36,12.2932698,35.69742,135.12634,9196,5.91E-01,16
2013,8,1,1,36,12.2943477,35.84274,135.10172,14502,2.02E-02,16
2013,8,1,1,36,12.2951176,35.87649,135.11314,7114,5.34E-01,16
2013,8,1,1,36,12.2956191,35.93927,135.08477,4851,1.32E+00,16
2013,8,1,1,36,12.3015077,35.80367,135.09457,6876,4.65E-02,16
2013,8,1,1,36,12.3092231,35.9086,135.12934,6468,2.01E+00,16
2013,8,1,1,36,12.3119675,35.85215,135.15163,5859,4.17E-01,16
2013,8,1,1,36,12.3296754,35.80716,135.09383,11219,6.10E-02,16
2013,8,1,1,36,12.3514121,35.80357,135.075,12800,1.36E-01,16
2013,8,1,1,36,12.3517885,35.83594,135.04893,10999,1.90E-01,16
2013,8,1,1,36,12.3518648,35.82785,135.07047,14383,2.83E-03,16
2013,8,1,1,36,12.3520557,35.81673,135.05442,12650,4.48E-02,16
2013,8,1,1,36,12.3520977,35.85475,135.06609,4854,2.51E-03,16
2013,8,1,1,36,12.3521772,35.8592,135.05329,15761,9.30E-02,16
2013,8,1,1,36,12.3523131,35.88183,135.05926,12502,2.13E-01,16
2013,8,1,1,36,12.3523563,35.9042,135.03603,4989,4.50E-02,16
2013,8,1,1,37,49.2938098,35.06362,133.367,13721,9.14E-01,17
2013,8,1,1,37,49.2952066,35.05263,133.39956,12231,2.54E-01,17
2013,8,1,1,37,49.2956133,35.09376,133.15993,11342,3.18E-02,17
2013,8,1,1,37,49.2970807,35.06418,133.37531,13016,1.81E-02,17
2013,8,1,1,37,49.2985608,35.11756,133.13778,13018,5.85E-02,17
2013,8,1,1,37,49.5191289,35.06712,133.36948,10269,7.64E-01,17
2013,8,1,1,37,49.5576625,35.12747,133.21378,8763,1.69E-02,17
2013,8,1,1,45,33.8664148,35.79317,135.0458,15723,1.97E-02,18
2013,8,1,1,45,33.8667787,35.77573,135.05265,11155,1.98E-03,18
2013,8,1,1,45,33.8668216,35.78394,135.04825,11239,9.41E-03,18
2013,8,1,1,45,33.8671861,35.76866,135.05424,4195,8.90E-03,18
2013,8,1,1,45,33.8673641,35.8174,135.02494,12278,1.13E-01,18
2013,8,1,1,45,33.8676372,35.76929,135.05396,4126,1.10E-02,18
2013,8,1,1,45,33.8677967,35.76929,135.05396,4126,1.10E-02,18
2013,8,1,1,45,33.8679067,35.73204,135.06989,15561,1.85E-02,18
2013,8,1,1,45,33.8679915,35.81275,135.04406,4537,5.07E+00,18
2013,8,1,1,45,33.8682787,35.77785,135.04972,6902,5.57E+00,18
2013,8,1,1,45,33.8684971,35.66605,135.07808,6950,1.32E-01,18
2013,8,1,1,45,33.8685649,35.76041,135.05832,6249,8.21E-03,18
2013,8,1,1,45,33.8685852,35.8411,135.0231,9538,1.08E+00,18
2013,8,1,1,45,33.8692295,35.75062,135.05995,6291,1.93E-02,18
2013,8,1,1,45,33.8693194,35.76799,135.05569,8141,2.83E-03,18
2013,8,1,1,45,33.8703431,35.78424,135.05045,15568,8.69E-03,18
2013,8,1,1,45,33.8716194,35.78204,135.04547,7016,5.97E-01,18
2013,8,1,1,45,33.8725019,35.82473,135.01162,10064,1.03E-03,18
2013,8,1,1,45,33.8730101,35.75665,135.06464,8064,2.04E-02,18
2013,8,1,1,45,33.8741129,35.78235,135.03806,13330,2.81E-01,18
2013,8,1,1,45,33.8751685,35.85148,135.03604,12255,3.66E-02,18
2013,8,1,1,45,33.8753097,35.90367,135.00879,15953,1.24E-02,18
2013,8,1,1,45,33.8782553,35.83765,135.01887,11526,5.11E-01,18
2013,8,1,1,45,33.8786932,35.76897,135.07104,14656,4.08E-03,18
